PROJECT,TIME,CONFIG,FI,AA,NTA,DAC,RAC,RC,AC,FFD,FDD,CB,CA,BA,DATE,PROJ_CONFIG_AVG,STATUS,BATCH,DEFAULT,RSpeedup,RSPEEDPERC,CONFIG_RSPEEDUP,CONFIG_GM_SPEEDUP,UNIQUE_CONFIG
1,poly-0.3.3.0,47.723,0,NA,64.125,58.5,64.125,59.25,60.5,57,57,58.75,59.25,58.25,NA,may9_DP,41.9369,ORIGINAL,Default with pragmas,99.634,2.37580746311721,137.580746311721,1.08099711674425,8.09971167442471,-1
2,ListLike-4.6.3,23.212,0,NA,63.75,57.25,63.75,58.75,59,56.75,56,58.5,58.5,57.75,NA,may9_DP,23.4827,ORIGINAL,Default with pragmas,23.583,1.00427122945828,0.427122945828184,1.08099711674425,8.09971167442471,-1
3,loop-0.3.0,20.653,0,NA,64.25,57.75,64.25,58.5,58,55.25,55.25,57.5,57.75,56.75,NA,may9_DP,22.255,ORIGINAL,Default with pragmas,19.835,0.891260390923388,-10.8739609076612,1.08099711674425,8.09971167442471,-1
4,midi-0.2.2.2,18.983,0,NA,62.5,58.5,62.5,57.25,58.25,56.25,55.5,57.5,58,57.25,NA,may9_DP,18.977,ORIGINAL,Default with pragmas,18.943,0.998208357485377,-0.179164251462294,1.08099711674425,8.09971167442471,-1
5,monoid-subclasses-1.0.1,35.043,0,NA,64.25,59.5,64.25,58.5,58.75,56.25,56.75,58.25,59,58.5,NA,may9_DP,35.5369,ORIGINAL,Default with pragmas,36.713,1.03309517712575,3.30951771257482,1.08099711674425,8.09971167442471,-1
6,reinterpret-cast-0.1.0,26.673,0,NA,66.75,58.25,66.75,59,58.75,57,57.5,58,59,58.25,NA,may9_DP,26.6781,ORIGINAL,Default with pragmas,27.003,1.01217852845592,1.21785284559246,1.08099711674425,8.09971167442471,-1
7,set-cover-0.1,15.313,0,NA,62.25,58.5,62.25,59,59.75,57.25,57.25,58.75,59.5,58.25,NA,may9_DP,15.286,ORIGINAL,Default with pragmas,15.603,1.02073793013215,2.07379301321471,1.08099711674425,8.09971167442471,-1
8,hw-rankselect-0.13.3.1,8.315,0,NA,67.75,63.25,67.75,65.5,64.75,62.25,61.75,64.25,65,63.25,NA,may9_DP,8.4431,ORIGINAL,Default with pragmas,7.934,0.939702242067487,-6.02977579325128,1.08099711674425,8.09971167442471,-1
9,metrics-0.4.1.1,59.213,0,NA,69.375,65.75,69.375,66.75,67.25,64.25,64.5,66.25,67,65.75,NA,may9_DP,58.9539,ORIGINAL,Default with pragmas,59.053,1.00168097445631,0.168097445631243,1.08099711674425,8.09971167442471,-1
10,nonempty-containers-0.3.3.0,4.094,0,NA,69.125,64.5,69.125,65.5,66,63.5,63.25,65,65.75,65.5,NA,may9_DP,4.1832,ORIGINAL,Default with pragmas,4.274,1.02170587110346,2.17058711034614,1.08099711674425,8.09971167442471,-1
